john.doe@example.com;Password123,
jane.smith@example.com;Qwerty456,
michael.johnson@example.com;Admin789,
emily.davis@example.com;Passw0rd!,
william.brown@example.com;Secret2024,
olivia.wilson@example.com;Welcome1,
james.jones@example.com;Summer2024,
sophia.miller@example.com;Sunshine99,
benjamin.moore@example.com;EasyPassword,
ava.taylor@example.com;Test1234,
noah.anderson@example.com;OpenSesame,
mia.thomas@example.com;Password2024,
elijah.jackson@example.com;MyPassword1,
isabella.white@example.com;HelloWorld,
jacob.harris@example.com;NewPassword!,
charlotte.martin@example.com;SecurePass,
lucas.lee@example.com;SimplePass1,
amelia.clark@example.com;Access123,
aiden.rodriguez@example.com;CheckThis,
harper.walker@example.com;SafePass2024,
ethan.hall@example.com;Pass4You,
